Materials,Predictions,Experiments,First ionization energy difference,Pauling electronegativity difference,Average lattice size,Lattice size difference,Fermi level difference
(CaCePrHoEr)B6,Single,--,4.859305315,7.632475508,4.1212,0.642242405,16.35497694
(CaCePrHoTm)B6,Single,--,5.103858953,7.816473186,4.1198,0.687128081,16.36295134
(CaCePrHoYb)B6,Single,--,5.35974727,6.574887573,4.1286,0.501234328,23.43924532
(CaCePrErYb)B6,Single,--,5.504685718,6.844767968,4.128,0.527856248,23.44206936
(CaCePrTmYb)B6,Single,--,5.679480498,7.120500728,4.1266,0.59092816,23.43473373
(CaCePrYbLu)B6,Single,--,6.072715522,7.686338458,4.1254,0.645823985,23.42875815
(CaCeNdSmEu)B6,Single,--,3.775321091,6.091093499,4.138,0.306063609,22.7601187
(CaCeNdSmGd)B6,Single,--,4.811879041,6.091093499,4.1278,0.383168931,16.36648414
(CaCeNdSmTb)B6,Single,--,4.071091511,5.228510776,4.1266,0.430393802,16.36738543
(CaCeNdSmDy)B6,Single,--,4.071091511,6.4789399,4.1262,0.446720466,16.37399648
(CaCeNdSmHo)B6,Single,--,4.320245627,6.690493367,4.1254,0.480075868,16.39088066
(CaCeNdSmEr)B6,Single,--,4.638253678,6.912140368,4.1248,0.505617113,16.3884477
(CaCeNdSmTm)B6,Single,--,4.960925749,7.142768583,4.1234,0.566600838,16.39519099
(CaCeNdSmYb)B6,Single,--,5.281695989,5.228510776,4.1322,0.253074226,23.37820427
(CaCeNdSmLu)B6,Single,--,4.283561296,7.627040393,4.1222,0.62007927,16.40184812
(CaCeNdEuGd)B6,Single,--,4.761007553,6.477138791,4.1348,0.434630161,22.83677575
(CaCeNdEuTb)B6,Single,--,4.028435473,5.866728932,4.1336,0.486878401,22.83236092
(CaCeNdEuDy)B6,Single,--,4.028435473,6.809535072,4.1332,0.504589535,22.81128437
(CaCeNdEuHo)B6,Single,--,4.273644478,6.994639277,4.1324,0.540369968,22.78375057
(CaCeNdEuEr)B6,Single,--,4.588571616,7.190842643,4.1318,0.567475711,22.78669525
(CaCeNdEuTm)B6,Single,--,4.909214268,7.397097051,4.1304,0.631450005,22.77904258
(CaCeNdEuYb)B6,Single,--,5.228579403,5.866728932,4.1392,0.265268211,27.39471174
(CaCeNdEuLu)B6,Single,--,4.281494403,7.8359317,4.1292,0.686931291,22.77279864
(CaCeNdGdTb)B6,Single,--,4.644986566,5.866728932,4.1234,0.488082786,16.29820811
(CaCeNdGdDy)B6,Single,--,4.644986566,6.809535072,4.123,0.501070541,16.30845878
(CaCeNdGdHo)B6,Single,--,4.753367283,6.994639277,4.1222,0.528242571,16.33096829
(CaCeNdGdEr)B6,Single,--,4.931021772,7.190842643,4.1216,0.549553239,16.32786756
(CaCeNdGdTm)B6,Single,--,5.138114946,7.397097051,4.1202,0.601873381,16.33639059
